STATE,COUNTY,Annual Avg Violent Crimes,"Reported Violent Crimes per 100,000 Population",Z-Score
Alabama,Autauga,149,272,-0.63
Alabama,Baldwin,408,204,-1
Alabama,Barbour,106,414,0.12
Alabama,Bibb,20,89,-1.6
Alabama,Blount,279,483,0.48
Alabama,Bullock,33,311,-0.43
Alabama,Butler,117,582,1.01
Alabama,Calhoun,871,756,1.93
Alabama,Chambers,181,529,0.73
Alabama,Cherokee,86,330,-0.32
Alabama,Chilton,223,508,0.62
Alabama,Choctaw,17,128,-1.39
Alabama,Clarke,116,475,0.44
Alabama,Clay,42,309,-0.44
Alabama,Cleburne,16,103,-1.53
Alabama,Coffee,142,276,-0.61
Alabama,Colbert,218,400,0.05
Alabama,Conecuh,48,387,-0.02
Alabama,Coosa,27,255,-0.72
Alabama,Covington,125,331,-0.32
Alabama,Crenshaw,45,332,-0.32
Alabama,Cullman,106,129,-1.39
Alabama,Dale,214,437,0.24
Alabama,Dallas,380,925,2.83
Alabama,DeKalb,196,312,-0.42
Alabama,Elmore,195,239,-0.81
Alabama,Escambia,169,446,0.29
Alabama,Etowah,619,604,1.13
Alabama,Fayette,,,0
Alabama,Franklin,83,264,-0.67
Alabama,Geneva,111,414,0.12
Alabama,Greene,55,669,1.47
Alabama,Hale,29,209,-0.97
Alabama,Henry,34,197,-1.03
Alabama,Houston,508,488,0.51
Alabama,Jackson,163,317,-0.39
Alabama,Jefferson,"5,623",873,2.55
Alabama,Lamar,23,162,-1.22
Alabama,Lauderdale,248,269,-0.65
Alabama,Lawrence,84,260,-0.69
Alabama,Lee,652,416,0.13
Alabama,Limestone,147,160,-1.23
Alabama,Lowndes,56,671,1.48
Alabama,Macon,138,734,1.82
Alabama,Madison,"2,155",611,1.16
Alabama,Marengo,88,449,0.31
Alabama,Marion,89,296,-0.51
Alabama,Marshall,272,286,-0.56
Alabama,Mobile,"2,273",548,0.83
Alabama,Monroe,105,492,0.54
Alabama,Montgomery,"1,200",532,0.74
Alabama,Morgan,216,181,-1.12
Alabama,Perry,22,381,-0.05
Alabama,Pickens,35,166,-1.19
Alabama,Pike,188,564,0.92
Alabama,Randolph,45,196,-1.03
Alabama,Russell,306,505,0.6
Alabama,Shelby,419,264,-0.68
Alabama,St. Clair,261,299,-0.49
Alabama,Sumter,57,435,0.23
Alabama,Talladega,378,469,0.41
Alabama,Tallapoosa,258,639,1.31
Alabama,Tuscaloosa,819,402,0.05
Alabama,Walker,292,450,0.31
Alabama,Washington,41,243,-0.79
Alabama,Wilcox,72,645,1.34
Alabama,Winston,24,107,-1.51
Arizona,Apache,79,109,-1.16
Arizona,Cochise,366,333,0.39
Arizona,Coconino,498,357,0.55
Arizona,Gila,303,574,2.05
Arizona,Graham,36,109,-1.16
Arizona,Greenlee,4,41,-1.63
Arizona,La Paz,50,264,-0.09
Arizona,Maricopa,"17,044",409,0.91
Arizona,Mohave,445,221,-0.39
Arizona,Navajo,304,281,0.02
Arizona,Pima,"4,761",470,1.33
Arizona,Pinal,884,221,-0.39
Arizona,Santa Cruz,66,140,-0.95
Arizona,Yavapai,527,300,0.15
Arizona,Yuma,678,330,0.37
Arkansas,Arkansas,88,473,0.29
Arkansas,Ashley,67,321,-0.32
Arkansas,Baxter,75,182,-0.87
Arkansas,Benton,662,275,-0.5
Arkansas,Boone,206,551,0.61
Arkansas,Bradley,29,261,-0.55
Arkansas,Calhoun,11,211,-0.76
Arkansas,Carroll,94,337,-0.25
Arkansas,Chicot,41,367,-0.13
Arkansas,Clark,75,329,-0.28
Arkansas,Clay,33,221,-0.72
Arkansas,Cleburne,94,367,-0.13
Arkansas,Cleveland,8,95,-1.22
Arkansas,Columbia,76,317,-0.33
Arkansas,Conway,45,211,-0.76
Arkansas,Craighead,450,431,0.13
Arkansas,Crawford,234,380,-0.08
Arkansas,Crittenden,624,"1,274",3.5
Arkansas,Cross,115,664,1.06
Arkansas,Dallas,46,597,0.79
Arkansas,Desha,62,730,1.32
Arkansas,Drew,68,362,-0.15
Arkansas,Faulkner,441,361,-0.15
Arkansas,Franklin,76,427,0.11
Arkansas,Fulton,23,184,-0.87
Arkansas,Garland,512,645,0.98
Arkansas,Grant,46,254,-0.58
Arkansas,Greene,167,379,-0.08
Arkansas,Hempstead,140,628,0.92
Arkansas,Hot Spring,77,230,-0.68
Arkansas,Howard,21,154,-0.99
Arkansas,Independence,184,496,0.39
Arkansas,Izard,30,221,-0.72
Arkansas,Jackson,120,692,1.17
Arkansas,Jefferson,719,"1,009",2.44
Arkansas,Johnson,64,244,-0.63
Arkansas,Lafayette,13,178,-0.89
Arkansas,Lawrence,38,227,-0.69
Arkansas,Lee,29,294,-0.43
Arkansas,Lincoln,22,155,-0.98
Arkansas,Little River,18,144,-1.02
Arkansas,Logan,82,380,-0.08
Arkansas,Lonoke,244,340,-0.24
Arkansas,Madison,30,188,-0.85
Arkansas,Marion,56,342,-0.23
Arkansas,Miller,235,537,0.55
Arkansas,Mississippi,432,987,2.35
Arkansas,Monroe,28,371,-0.12
Arkansas,Montgomery,20,219,-0.73
Arkansas,Nevada,17,194,-0.82
Arkansas,Newton,25,316,-0.34
Arkansas,Ouachita,113,620,0.88
Arkansas,Perry,53,519,0.48
Arkansas,Phillips,146,"1,192",3
Arkansas,Pike,16,142,-1.03
Arkansas,Poinsett,79,348,-0.21
Arkansas,Polk,60,297,-0.41
Arkansas,Pope,235,372,-0.11
Arkansas,Prairie,14,170,-0.92
Arkansas,Pulaski,"4,170","1,060",2.64
Arkansas,Randolph,52,295,-0.42
Arkansas,Saline,415,352,-0.19
Arkansas,Scott,33,318,-0.33
Arkansas,Searcy,10,127,-1.09
Arkansas,Sebastian,808,636,0.94
Arkansas,Sevier,38,216,-0.74
Arkansas,Sharp,,,0
Arkansas,St. Francis,204,777,1.51
Arkansas,Stone,30,239,-0.64
Arkansas,Union,234,583,0.73
Arkansas,Van Buren,47,278,-0.49
Arkansas,Washington,700,455,0.22
Arkansas,White,189,344,-0.22
Arkansas,Woodruff,11,161,-0.96
Arkansas,Yell,73,334,-0.26
California,Alameda,"10,242",629,1.39
California,Alpine,5,442,0.15
California,Amador,87,237,-1.23
California,Butte,734,327,-0.63
California,Calaveras,146,327,-0.62
California,Colusa,43,201,-1.47
California,Contra Costa,"3,773",336,-0.57
California,Del Norte,167,609,1.26
California,El Dorado,399,218,-1.36
California,Fresno,"5,264",542,0.81
California,Glenn,114,408,-0.08
California,Humboldt,584,432,0.08
California,Imperial,630,366,-0.36
California,Inyo,110,600,1.2
California,Kern,"4,797",545,0.83
California,Kings,668,443,0.15
California,Lake,343,535,0.77
California,Lassen,183,587,1.11
California,Los Angeles,"49,549",488,0.45
California,Madera,956,620,1.33
California,Marin,465,178,-1.62
California,Mariposa,76,431,0.07
California,Mendocino,559,640,1.47
California,Merced,"1,487",555,0.9
California,Modoc,45,505,0.56
California,Mono,37,262,-1.06
California,Monterey,"1,828",421,0
California,Napa,566,398,-0.15
California,Nevada,260,264,-1.05
California,Orange,"6,766",214,-1.38
California,Placer,609,162,-1.73
California,Plumas,106,575,1.03
California,Riverside,"6,854",291,-0.86
California,Sacramento,"7,593",508,0.59
California,San Benito,176,299,-0.81
California,San Bernardino,"9,375",442,0.14
California,San Diego,"10,772",328,-0.62
California,San Francisco,"6,546",760,2.27
California,San Joaquin,"5,676",787,2.45
California,San Luis Obispo,"1,146",408,-0.08
California,San Mateo,"1,598",209,-1.41
California,Santa Barbara,"1,411",318,-0.69
California,Santa Clara,"5,050",264,-1.05
California,Santa Cruz,"1,120",410,-0.07
California,Shasta,"1,304",726,2.04
California,Sierra,13,422,0.01
California,Siskiyou,149,344,-0.51
California,Solano,"2,066",476,0.37
California,Sonoma,"1,845",368,-0.35
California,Stanislaus,"3,096",578,1.05
California,Sutter,338,352,-0.46
California,Tehama,341,540,0.8
California,Trinity,50,380,-0.27
California,Tulare,"1,756",382,-0.26
California,Tuolumne,169,316,-0.7
California,Ventura,"2,042",240,-1.2
California,Yolo,698,332,-0.59
California,Yuba,307,414,-0.05
Colorado,Adams,"1,825",372,1.31
Colorado,Alamosa,,,0
Colorado,Arapahoe,"2,082",330,1
Colorado,Archuleta,24,190,-0.03
Colorado,Baca,4,96,-0.72
Colorado,Bent,8,133,-0.45
Colorado,Boulder,698,242,0.35
Colorado,Broomfield,33,51,-1.06
Colorado,Chaffee,12,61,-0.98
Colorado,Cheyenne,2,80,-0.84
Colorado,Clear Creek,51,563,2.72
Colorado,Conejos,4,45,-1.1
Colorado,Costilla,8,226,0.24
Colorado,Crowley,4,65,-0.95
Colorado,Custer,6,125,-0.51
Colorado,Delta,23,84,-0.81
Colorado,Denver,"4,309",631,3.22
Colorado,Dolores,4,175,-0.14
Colorado,Douglas,365,114,-0.59
Colorado,Eagle,77,144,-0.37
Colorado,El Paso,"2,697",400,1.51
Colorado,Elbert,1,4,-1.4
Colorado,Fremont,105,225,0.23
Colorado,Garfield,110,189,-0.04
Colorado,Gilpin,16,286,0.68
Colorado,Grand,11,81,-0.84
Colorado,Gunnison,29,179,-0.11
Colorado,Hinsdale,2,255,NR
Colorado,Huerfano,25,409,1.58
Colorado,Jackson,0,0,NR
Colorado,Jefferson,"1,434",254,0.44
Colorado,Kiowa,,,0
Colorado,Kit Carson,16,206,0.09
Colorado,La Plata,96,175,-0.15
Colorado,Lake,15,202,0.05
Colorado,Larimer,666,201,0.05
Colorado,Las Animas,21,147,-0.35
Colorado,Lincoln,6,100,-0.7
Colorado,Logan,67,301,0.79
Colorado,Mesa,516,348,1.13
Colorado,Mineral,1,137,NR
Colorado,Moffat,21,159,-0.26
Colorado,Montezuma,42,159,-0.26
Colorado,Montrose,53,134,-0.44
Colorado,Morgan,56,203,0.06
